Treatment	Plot	Rep	Month	Year	Phylum	LogCopyNumber	SoilMoisture	SoilMoisturePlot
1	2	1	2	2	Acidobacteria	7.377343387	19.58333333	19.5
1	2	1	2	2	Acidobacteria	7.369949672	19.58333333	19.5
1	2	1	2	2	Acidobacteria	7.369949672	19.58333333	19.5
1	2	2	2	2	Acidobacteria	7.460522685	19.58333333	20.9
1	2	2	2	2	Acidobacteria	7.425402537	19.58333333	20.9
1	2	2	2	2	Acidobacteria	7.351465383	19.58333333	20.9
1	3	1	2	2	Acidobacteria	8.035384052	19.58333333	17.5
1	3	1	2	2	Acidobacteria	8.027990337	19.58333333	17.5
1	3	1	2	2	Acidobacteria	8.098230633	19.58333333	17.5
1	3	2	2	2	Acidobacteria	7.761816585	19.58333333	20.9
1	3	2	2	2	Acidobacteria	7.728544866	19.58333333	20.9
1	3	2	2	2	Acidobacteria	7.743332296	19.58333333	20.9
1	4	1	2	2	Acidobacteria	7.00765762	19.58333333	13.6
1	4	1	2	2	Acidobacteria	7.044626197	19.58333333	13.6
1	4	1	2	2	Acidobacteria	7.020596622	19.58333333	13.6
1	4	2	2	2	Acidobacteria	6.73778701	19.58333333	14.3
1	4	2	2	2	Acidobacteria	6.726696437	19.58333333	14.3
1	4	2	2	2	Acidobacteria	6.678637287	19.58333333	14.3
1	5	1	2	2	Acidobacteria	6.963295328	19.58333333	22
1	5	1	2	2	Acidobacteria	7.066807343	19.58333333	22
1	5	1	2	2	Acidobacteria	6.978082758	19.58333333	22
1	5	2	2	2	Acidobacteria	7.018748193	19.58333333	20.9
1	5	2	2	2	Acidobacteria	6.99102176	19.58333333	20.9
1	5	2	2	2	Acidobacteria	6.828360023	19.58333333	20.9
1	1	1	1	2	Acidobacteria	NA	26.3	24.7
1	1	1	1	2	Acidobacteria	NA	26.3	24.7
1	1	1	1	2	Acidobacteria	NA	26.3	24.7
1	1	2	1	2	Acidobacteria	NA	26.3	23.4
1	1	2	1	2	Acidobacteria	NA	26.3	23.4
1	1	2	1	2	Acidobacteria	NA	26.3	23.4
1	2	1	1	2	Acidobacteria	7.639820282	26.3	22
1	2	1	1	2	Acidobacteria	7.684182574	26.3	22
1	2	1	1	2	Acidobacteria	7.798785161	26.3	22
1	2	2	1	2	Acidobacteria	7.434644681	26.3	27.3
1	2	2	1	2	Acidobacteria	7.466067971	26.3	27.3
1	2	2	1	2	Acidobacteria	7.453128969	26.3	27.3
1	3	1	1	2	Acidobacteria	7.905994034	26.3	26.8
1	3	1	1	2	Acidobacteria	7.872722315	26.3	26.8
1	3	1	1	2	Acidobacteria	7.935568895	26.3	26.8
1	3	2	1	2	Acidobacteria	7.885661317	26.3	25.1
1	3	2	1	2	Acidobacteria	7.955901612	26.3	25.1
1	3	2	1	2	Acidobacteria	7.909690892	26.3	25.1
1	4	1	1	2	Acidobacteria	7.129653923	26.3	18.1
1	4	1	1	2	Acidobacteria	7.218378507	26.3	18.1
1	4	1	1	2	Acidobacteria	7.185106788	26.3	18.1
1	4	2	1	2	Acidobacteria	7.327435808	26.3	17.6
1	4	2	1	2	Acidobacteria	7.331132666	26.3	17.6
1	4	2	1	2	Acidobacteria	7.347768526	26.3	17.6
1	5	1	1	2	Acidobacteria	7.1666225	26.3	21.9
1	5	1	1	2	Acidobacteria	7.255347084	26.3	21.9
1	5	1	1	2	Acidobacteria	7.283073516	26.3	21.9
1	5	2	1	2	Acidobacteria	7.540005124	26.3	22.2
1	5	2	1	2	Acidobacteria	7.584367417	26.3	22.2
1	5	2	1	2	Acidobacteria	7.569579986	26.3	22.2
1	1	1	2	3	Acidobacteria	NA	17.73333333	NA
1	1	1	2	3	Acidobacteria	NA	17.73333333	NA
1	1	1	2	3	Acidobacteria	NA	17.73333333	NA
1	1	2	2	3	Acidobacteria	NA	17.73333333	NA
1	1	2	2	3	Acidobacteria	NA	17.73333333	NA
1	1	2	2	3	Acidobacteria	NA	17.73333333	NA
1	2	1	2	3	Acidobacteria	7.497491261	17.73333333	20.7
1	2	1	2	3	Acidobacteria	7.488249117	17.73333333	20.7
1	2	1	2	3	Acidobacteria	7.503036548	17.73333333	20.7
1	2	2	2	3	Acidobacteria	7.38843396	17.73333333	20.5
1	2	2	2	3	Acidobacteria	7.397676104	17.73333333	20.5
1	2	2	2	3	Acidobacteria	7.345920097	17.73333333	20.5
1	3	1	2	3	Acidobacteria	7.157380356	17.73333333	19.2
1	3	1	2	3	Acidobacteria	7.222075365	17.73333333	19.2
1	3	1	2	3	Acidobacteria	7.192500503	17.73333333	19.2
1	3	2	2	3	Acidobacteria	7.185106788	17.73333333	20.6
1	3	2	2	3	Acidobacteria	7.251650226	17.73333333	20.6
1	3	2	2	3	Acidobacteria	7.207287934	17.73333333	20.6
1	4	1	2	3	Acidobacteria	7.527066123	17.73333333	NA
1	4	1	2	3	Acidobacteria	7.493794404	17.73333333	NA
1	4	1	2	3	Acidobacteria	7.482703831	17.73333333	NA
1	4	2	2	3	Acidobacteria	7.286770374	17.73333333	15.9
1	4	2	2	3	Acidobacteria	7.116714921	17.73333333	15.9
1	4	2	2	3	Acidobacteria	7.13519921	17.73333333	15.9
1	5	1	2	3	Acidobacteria	7.466067971	17.73333333	NA
1	5	1	2	3	Acidobacteria	7.512278692	17.73333333	NA
1	5	1	2	3	Acidobacteria	7.527066123	17.73333333	NA
1	5	2	2	3	Acidobacteria	7.708212149	17.73333333	NA
1	5	2	2	3	Acidobacteria	7.686031002	17.73333333	NA
1	5	2	2	3	Acidobacteria	7.669395143	17.73333333	NA
2	1	1	1	1	Acidobacteria	6.066807343	27.11666667	30.1
2	1	1	1	1	Acidobacteria	6.235014367	27.11666667	30.1
2	1	1	1	1	Acidobacteria	6.225772222	27.11666667	30.1
2	1	2	1	1	Acidobacteria	7.142592925	27.11666667	27.6
2	1	2	1	1	Acidobacteria	7.207287934	27.11666667	27.6
2	1	2	1	1	Acidobacteria	7.225772222	27.11666667	27.6
2	2	1	1	1	Acidobacteria	7.765513442	27.11666667	25.1
2	2	1	1	1	Acidobacteria	7.937417324	27.11666667	25.1
2	2	1	1	1	Acidobacteria	7.893055032	27.11666667	25.1
2	2	2	1	1	Acidobacteria	7.615790707	27.11666667	23.1
2	2	2	1	1	Acidobacteria	7.636123424	27.11666667	23.1
2	2	2	1	1	Acidobacteria	7.643517139	27.11666667	23.1
2	3	1	1	1	Acidobacteria	7.307103091	27.11666667	24.7
2	3	1	1	1	Acidobacteria	7.414311964	27.11666667	24.7
2	3	1	1	1	Acidobacteria	7.458674256	27.11666667	24.7
2	3	2	1	1	Acidobacteria	7.447583683	27.11666667	27.4
2	3	2	1	1	Acidobacteria	7.49933969	27.11666667	27.4
2	3	2	1	1	Acidobacteria	7.432796252	27.11666667	27.4
2	4	1	1	1	Acidobacteria	7.288618803	27.11666667	25.8
2	4	1	1	1	Acidobacteria	7.290467232	27.11666667	25.8
2	4	1	1	1	Acidobacteria	7.286770374	27.11666667	25.8
2	4	2	1	1	Acidobacteria	7.355162241	27.11666667	21.2
2	4	2	1	1	Acidobacteria	7.332981095	27.11666667	21.2
2	4	2	1	1	Acidobacteria	7.336677953	27.11666667	21.2
2	5	1	1	1	Acidobacteria	6.732241723	27.11666667	30.3
2	5	1	1	1	Acidobacteria	6.748877583	27.11666667	30.3
2	5	1	1	1	Acidobacteria	6.918933036	27.11666667	30.3
2	5	2	1	1	Acidobacteria	7.281225088	27.11666667	28.4
2	5	2	1	1	Acidobacteria	7.310799949	27.11666667	28.4
2	5	2	1	1	Acidobacteria	7.290467232	27.11666667	28.4
2	1	1	2	2	Acidobacteria	7.941114182	16.65	16.1
2	1	1	2	2	Acidobacteria	7.985476474	16.65	16.1
2	1	1	2	2	Acidobacteria	7.944811039	16.65	16.1
2	1	2	2	2	Acidobacteria	7.88011603	16.65	17.1
2	1	2	2	2	Acidobacteria	7.878267601	16.65	17.1
2	1	2	2	2	Acidobacteria	7.872722315	16.65	17.1
2	2	1	2	2	Acidobacteria	7.588064274	16.65	17.8
2	2	1	2	2	Acidobacteria	7.612093849	16.65	17.8
2	2	1	2	2	Acidobacteria	7.632426566	16.65	17.8
2	2	2	2	2	Acidobacteria	7.162925642	16.65	16.1
2	2	2	2	2	Acidobacteria	7.174016215	16.65	16.1
2	2	2	2	2	Acidobacteria	7.190652075	16.65	16.1
2	3	1	2	2	Acidobacteria	7.907842463	16.65	14.6
2	3	1	2	2	Acidobacteria	7.954053184	16.65	14.6
2	3	1	2	2	Acidobacteria	7.917084607	16.65	14.6
2	3	2	2	2	Acidobacteria	7.663849856	16.65	16.5
2	3	2	2	2	Acidobacteria	7.669395143	16.65	16.5
2	3	2	2	2	Acidobacteria	7.606548563	16.65	16.5
2	4	1	2	2	Acidobacteria	6.913387749	16.65	19.8
2	4	1	2	2	Acidobacteria	6.930023609	16.65	19.8
2	4	1	2	2	Acidobacteria	6.950356326	16.65	19.8
2	4	2	2	2	Acidobacteria	6.996567047	16.65	14.2
2	4	2	2	2	Acidobacteria	6.970689043	16.65	14.2
2	4	2	2	2	Acidobacteria	7.031687195	16.65	14.2
2	5	1	2	2	Acidobacteria	6.974385901	16.65	16.7
2	5	1	2	2	Acidobacteria	6.994718618	16.65	16.7
2	5	1	2	2	Acidobacteria	7.031687195	16.65	16.7
2	5	2	2	2	Acidobacteria	7.271982943	16.65	15.7
2	5	2	2	2	Acidobacteria	7.320042093	16.65	15.7
2	5	2	2	2	Acidobacteria	7.296012518	16.65	15.7
2	1	1	1	2	Acidobacteria	7.924478322	25.93333333	25.4
2	1	1	1	2	Acidobacteria	7.876419173	25.93333333	25.4
2	1	1	1	2	Acidobacteria	7.978082758	25.93333333	25.4
2	1	2	1	2	Acidobacteria	7.802482019	25.93333333	22.6
2	1	2	1	2	Acidobacteria	7.83205688	25.93333333	22.6
2	1	2	1	2	Acidobacteria	7.820966307	25.93333333	22.6
2	2	1	1	2	Acidobacteria	7.227620651	25.93333333	23.1
2	2	1	1	2	Acidobacteria	7.264589228	25.93333333	23.1
2	2	1	1	2	Acidobacteria	7.288618803	25.93333333	23.1
2	2	2	1	2	Acidobacteria	7.270134515	25.93333333	23.6
2	2	2	1	2	Acidobacteria	7.323738951	25.93333333	23.6
2	2	2	1	2	Acidobacteria	7.312648378	25.93333333	23.6
2	3	1	1	2	Acidobacteria	7.310799949	25.93333333	23.3
2	3	1	1	2	Acidobacteria	7.331132666	25.93333333	23.3
2	3	1	1	2	Acidobacteria	7.366252814	25.93333333	23.3
2	3	2	1	2	Acidobacteria	7.377343387	25.93333333	24.4
2	3	2	1	2	Acidobacteria	7.364404385	25.93333333	24.4
2	3	2	1	2	Acidobacteria	7.369949672	25.93333333	24.4
2	4	1	1	2	Acidobacteria	6.314496807	25.93333333	20.7
2	4	1	1	2	Acidobacteria	6.408766677	25.93333333	20.7
2	4	1	1	2	Acidobacteria	6.410615106	25.93333333	20.7
2	4	2	1	2	Acidobacteria	6.205439505	25.93333333	17.6
2	4	2	1	2	Acidobacteria	6.236862795	25.93333333	17.6
2	4	2	1	2	Acidobacteria	6.138896067	25.93333333	17.6
2	5	1	1	2	Acidobacteria	7.787694588	25.93333333	20.1
2	5	1	1	2	Acidobacteria	7.822814736	25.93333333	20.1
2	5	1	1	2	Acidobacteria	7.843147454	25.93333333	20.1
2	5	2	1	2	Acidobacteria	7.68972786	25.93333333	19.6
2	5	2	1	2	Acidobacteria	7.710060577	25.93333333	19.6
2	5	2	1	2	Acidobacteria	7.70636372	25.93333333	19.6
2	1	1	2	3	Acidobacteria	7.791391446	16.825	NA
2	1	1	2	3	Acidobacteria	7.819117879	16.825	NA
2	1	1	2	3	Acidobacteria	7.808027306	16.825	NA
2	1	2	2	3	Acidobacteria	7.682334145	16.825	NA
