Date 	Plot	Replicate	Treatment	SoilMoisture
7/8/2005	6	2	2	28
8/2/2005	2	1	2	23.1
8/2/2005	3	1	2	23.3
8/2/2005	4	1	2	20.7
8/2/2005	1	1	2	25.4
8/2/2005	5	1	2	20.1
8/2/2005	6	1	2	23.9
8/2/2005	2	2	2	23.6
8/2/2005	3	2	2	24.4
8/2/2005	4	2	2	17.6
8/2/2005	1	2	2	22.6
8/2/2005	5	2	2	19.6
8/2/2005	6	2	2	18.7
8/25/2005	2	1	2	25.7
8/25/2005	3	1	2	26
8/25/2005	4	1	2	24.1
8/25/2005	1	1	2	28.8
8/25/2005	5	1	2	25.4
8/25/2005	6	1	2	25.6
8/25/2005	2	2	2	24.7
8/25/2005	3	2	2	26.7
8/25/2005	4	2	2	17.9
8/25/2005	1	2	2	26.4
8/25/2005	5	2	2	22.6
8/25/2005	6	2	2	21.5
9/24/2005	2	1	2	21.9
9/24/2005	3	1	2	23.8
9/24/2005	4	1	2	21.8
9/24/2005	1	1	2	24.7
9/24/2005	5	1	2	20.1
9/24/2005	6	1	2	21.1
9/24/2005	2	2	2	23.6
9/24/2005	3	2	2	21.9
9/24/2005	4	2	2	18.1
9/24/2005	1	2	2	22.1
9/24/2005	5	2	2	20.1
9/24/2005	6	2	2	21
10//26/05	2	1	2	20.2
10//26/05	3	1	2	22.3
10//26/05	4	1	2	17.7
10//26/05	1	1	2	24
10//26/05	5	1	2	16.4
10//26/05	6	1	2	14
10//26/05	2	2	2	21.1
10//26/05	3	2	2	21.8
10//26/05	4	2	2	15.4
10//26/05	1	2	2	17
10//26/05	5	2	2	16.3
10//26/05	6	2	2	13.4
11/21/2005	2	1	2	14.4
11/21/2005	3	1	2	15.5
11/21/2005	4	1	2	14.6
11/21/2005	1	1	2	14.8
11/21/2005	5	1	2	13
11/21/2005	6	1	2	10.5
11/21/2005	2	2	2	15.6
11/21/2005	3	2	2	15.4
11/21/2005	4	2	2	10.7
11/21/2005	1	2	2	14.3
11/21/2005	5	2	2	10.4
11/21/2005	6	2	2	11
12/30/2005	2	1	2	18.6
12/30/2005	3	1	2	19.2
12/30/2005	4	1	2	15.3
12/30/2005	1	1	2	21.3
12/30/2005	5	1	2	10.2
12/30/2005	6	1	2	11.4
12/30/2005	2	2	2	14.7
12/30/2005	3	2	2	18.7
12/30/2005	4	2	2	10
12/30/2005	1	2	2	15.9
12/30/2005	5	2	2	12.1
12/30/2005	6	2	2	11
1/30/2006	2	1	2	19.3
